review,score
"The location of this Airbnb was perfect, close to all the popular attractions. ",7
"The cleanliness of the Airbnb was outstanding, everything was spotless. ",7
The neighborhood where this Airbnb is situated was vibrant and full of life. ,7
I felt completely safe and secure during my stay at this Airbnb. ,7
"They were so welcoming to my pet, it felt like a home away from home. ",7
The host was incredibly helpful and accommodating. ,7
The location of this Airbnb was a bit far from the city center. ,3
"The cleanliness of the Airbnb could have been better, there were some dusty areas. ",3
The neighborhood where this Airbnb is located was noisy and crowded. ,3
I had some concerns about the security of the building. ,3
"Unfortunately, this Airbnb did not allow pets. ",3
The host was unresponsive and difficult to reach. ,3
"The location of this Airbnb was amazing, with stunning views. ",7
"The cleanliness of the Airbnb was impeccable, I was impressed. ",7
The neighborhood where this Airbnb is situated was peaceful and charming. ,7
I felt very safe and secure in this well-guarded Airbnb. ,7
"They provided all the necessary amenities for my pet, it was fantastic. ",7
"The host was incredibly friendly and helpful, making my stay enjoyable. ",7
"The location of this Airbnb was a bit isolated, far from amenities. ",3
"The cleanliness of the Airbnb was subpar, there were some stains on the linens. ",3
The neighborhood where this Airbnb is located had limited dining options. ,3
"I had concerns about the security of the neighborhood, especially at night. ",3
"Unfortunately, this Airbnb did not allow pets, which was disappointing. ",3
The host was unresponsive to my inquiries and requests. ,3
The location of this Airbnb was conveniently located near public transportation. ,7
"The cleanliness of the Airbnb exceeded my expectations, it was spotless. ",7
The neighborhood where this Airbnb is situated had a vibrant nightlife scene. ,7
I felt secure and comfortable with the provided security measures at this Airbnb. ,7
"They welcomed my pet with open arms, providing pet beds and bowls. ",7
The host was incredibly friendly and went above and beyond to make my stay memorable. ,7
The location of this Airbnb was a bit noisy due to construction nearby. ,3
"The cleanliness of the Airbnb was mediocre, there were some dust and dirt in corners. ",3
The neighborhood where this Airbnb is located was a bit rough and run-down. ,3
I didn't feel completely safe in the surrounding area of this Airbnb. ,3
"Unfortunately, this Airbnb did not allow pets, making it inconvenient for pet owners. ",3
The host was unresponsive to my messages and requests for assistance. ,3
"The Airbnb was conveniently located near public transportation, making it easy to get around. ",7
"I loved how close this Airbnb was to the beach, providing stunning views and easy access. ",7
The Airbnb's location in a quiet residential area was ideal for a peaceful getaway. ,7
"Unfortunately, the Airbnb was situated in a remote area, far from the main attractions. ",3
"The location of the Airbnb was noisy, with traffic and nightlife nearby. ",3
I had difficulty finding the Airbnb due to poor signage and confusing directions. ,3
"The Airbnb was far from public transportation, making it challenging to explore the city. ",3
"The location of the Airbnb was not as described, and it took longer to reach the city center. ",3
"The cleanliness of the Airbnb was exceptional, with spotless rooms and fresh linens. ",7
I appreciated the attention to detail in maintaining the cleanliness of the Airbnb. ,7
"The Airbnb was well-maintained and cleaned regularly, ensuring a comfortable stay. ",7
"Unfortunately, the cleanliness of the Airbnb fell short, with dirty floors and dusty surfaces. ",3
"There were unpleasant odors in the Airbnb, indicating a lack of thorough cleaning. ",3
"The bathroom in the Airbnb was not cleaned properly, with visible stains and hair. ",3
"I encountered pests in the Airbnb, indicating a lack of pest control measures. ",3
The bedding in the Airbnb had stains and didn't appear to be freshly laundered. ,3
"The cleanliness of the kitchen in the Airbnb was disappointing, with dirty utensils and countertops. ",3
The neighborhood where the Airbnb was located had a friendly and welcoming atmosphere. ,7
I loved exploring the vibrant neighborhood with its unique shops and local cafes. ,7
"The Airbnb was situated in a picturesque neighborhood, perfect for leisurely walks. ",7
"Unfortunately, the neighborhood surrounding the Airbnb felt unsafe and insecure. ",3
There was a lack of amenities and dining options in the immediate neighborhood. ,3
"The Airbnb was in a noisy neighborhood, with loud construction and nightlife nearby. ",3
"The surrounding neighborhood had a high crime rate, making me feel uneasy during my stay. ",3
"I expected more attractions and points of interest in the neighborhood, but it was relatively dull. ",3
"I felt secure and safe during my stay at the Airbnb, thanks to robust security measures. ",7
"The Airbnb had secure access controls and surveillance cameras, ensuring peace of mind. ",7
The neighborhood where the Airbnb was located had a reputation for safety and low crime rates. ,7
"Unfortunately, I had concerns about the security of the Airbnb, especially regarding door locks. ",3
The lack of proper lighting in the common areas of the Airbnb made me feel uneasy at night. ,3
"There were no security features or guards in place, compromising the overall safety of the Airbnb. ",3
"The neighborhood surrounding the Airbnb had a history of break-ins and thefts, raising security concerns. ",3
I didn't feel comfortable leaving my belongings unattended in the Airbnb due to inadequate security. ,3
"The Airbnb was incredibly pet-friendly, providing amenities and even a designated pet area. ",7
"They welcomed my furry friend with open arms, providing bowls, treats, and a comfortable bed. ",7
"The neighborhood had plenty of parks and green spaces, perfect for walking my pet. ",7
"Unfortunately, the Airbnb did not allow pets, which was disappointing for a pet owner like me. ",3
"There were limited pet-friendly facilities in the neighborhood, making it challenging to accommodate my pet's needs. ",3
"The Airbnb had strict rules and restrictions regarding pets, making it inconvenient for pet owners. ",3
I encountered difficulties finding pet-friendly outdoor spaces near the Airbnb for my pet's exercise. ,3
"The Airbnb did not provide any amenities or considerations for pets, making it unsuitable for pet owners. ",3
"The host of the Airbnb was friendly, accommodating, and responsive to my needs. ",7
"They provided helpful local tips and recommendations, enhancing my overall experience. ",7
"The host went above and beyond to ensure a comfortable stay, making me feel like a valued guest. ",7
"Unfortunately, the host was unresponsive to my messages and requests for assistance. ",3
"The host was unfriendly and lacked professionalism, creating a negative impression of the Airbnb. ",3
"They were unhelpful when I encountered issues during my stay, failing to provide any support. ",3
"The host was difficult to reach, causing delays and inconvenience in resolving my concerns. ",3
"I felt ignored and disregarded by the host, leading to a disappointing experience at the Airbnb. ",3
I loved how close this Airbnb was to all the popular attractions and restaurants. ,7
The Airbnb's location provided breathtaking views of the surrounding mountains. ,7
"Unfortunately, the Airbnb was quite far from the main tourist areas. ",3
"The location of the Airbnb was in a noisy neighborhood, making it hard to sleep. ",3
I had trouble finding the Airbnb due to its hidden location and poor signage. ,3
"The Airbnb was far from public transportation, making it inconvenient to get around. ",3
"The location of the Airbnb was in a sketchy area, and I didn't feel safe walking alone. ",3
"The cleanliness of the Airbnb was top-notch, everything was sparkling clean. ",7
I appreciated the efforts of the host in maintaining the cleanliness of the Airbnb. ,7
"The Airbnb was spotless, and it felt like stepping into a brand new place. ",7
"Unfortunately, the cleanliness of the Airbnb fell short of my expectations. ",3
"There were visible stains and dirt in some areas of the Airbnb, indicating a lack of cleaning. ",3
"The bathroom in the Airbnb was not cleaned properly, and it had an unpleasant odor. ",3
"I found hair and dust in the bedding, which made me question the cleanliness of the Airbnb. ",3
"The cleanliness of the kitchen was questionable, with greasy countertops and dirty utensils. ",3
The neighborhood where the Airbnb was located had a charming atmosphere with friendly locals. ,7
I enjoyed exploring the vibrant neighborhood filled with trendy cafes and boutiques. ,7
"The Airbnb was situated in a quiet and peaceful neighborhood, perfect for relaxation. ",7
"Unfortunately, the neighborhood had limited dining options and amenities. ",3
The Airbnb was located in a noisy neighborhood with constant traffic and construction noise. ,3
I felt uncomfortable walking around the neighborhood at night due to safety concerns. ,3
"The neighborhood lacked green spaces and parks, making it difficult to enjoy outdoor activities. ",3
I was disappointed with the lack of attractions and points of interest in the immediate neighborhood. ,3
"I felt safe and secure throughout my stay at the Airbnb, thanks to reliable security measures. ",7
"The Airbnb had secure locks and a well-lit entrance, providing peace of mind. ",7
"The neighborhood where the Airbnb was located had a low crime rate, making me feel at ease. ",7
"Unfortunately, the security of the Airbnb was questionable, with flimsy locks and poor lighting. ",3
"I had concerns about the overall safety of the neighborhood, especially during nighttime. ",3
"The Airbnb lacked security features and measures, which made me feel vulnerable. ",3
I didn't feel comfortable leaving my belongings unattended in the Airbnb due to inadequate security. ,3
"The neighborhood had a reputation for petty theft, which affected my sense of security. ",3
"The Airbnb was extremely pet-friendly, with dedicated areas and amenities for pets. ",7
"They provided a comfortable space for my pet, including bowls and toys. ",7
"The neighborhood had pet-friendly parks and trails, making it convenient for pet owners. ",7
"Unfortunately, the Airbnb did not allow pets, which was disappointing for me as a pet owner. ",3
There were limited options for pet-friendly activities in the neighborhood. ,3
"The host had strict rules and restrictions regarding pets, making it inconvenient for pet owners. ",3
I had difficulty finding pet-friendly facilities in the vicinity of the Airbnb. ,3
"The Airbnb didn't provide any amenities or considerations for pets, making it unsuitable for pet owners. ",3
They provided valuable recommendations and tips that enhanced my stay. ,7
The host was quick to respond to my messages and addressed any concerns promptly. ,7
