latitude,longitude,price,score
41.1413,-8.61308,80,9
40.69791,-73.93615,40,8
21.28634,-157.83919,115,9
-22.9662535517,-43.2307499143,317,9
40.98585,29.03133,527,10
-22.9719509883,-43.2050470826,701,9
-23.0003579266,-43.431112314800004,858,9
45.54548,-73.54949,43,9
40.79962,-73.96523,135,10
45.51889,-73.59111,50,9
-22.9263823478,-43.1801567523,250,8
40.72778,-73.94472,205,9
45.52233,-73.57383,140,9
41.40082,2.16942,50,9
22.28158,114.15027,699,8
41.15225,-8.61123,30,10
-22.9843393601,-43.1908491945,119,10
22.30469,114.17158,361,9
40.74577,-74.00074,145,10
-33.88029,151.21554,181,9
41.0062,28.98009,121,9
41.3596,-8.75383,40,10
22.3314,114.1669,181,10
-33.87603,151.21346,185,10
-33.86296,151.17956,250,9
41.04841,28.98713,838,7
40.72063,-73.98944,150,9
-22.9305414604,-43.1825954763,933,9
41.04772,28.98818,997,9
41.1543,-8.60867,40,9
40.74953,-73.88025,46,10
41.03777,28.95825,58,10
40.7664,-73.95854,275,9
40.71485,-73.82257,45,10
45.52028,-73.58774,34,10
-22.9362032466,-43.2474219071,149,10
22.31723,114.17073,400,9
21.4818,-158.20291,95,9
20.96996,-156.68012,499,10
-22.9150093545,-43.2427786809,380,9
40.99667,28.89964,264,9
-22.9831087458,-43.2046563089,1999,9
40.71577,-73.96053,175,9
-33.79629,151.26969,36,9
-33.71472,151.29792,117,10
19.5702,-155.96445,135,10
22.27671,113.92823,487,9
-23.0087107845,-43.4529604533,746,9
41.12452,29.03693,185,9
-22.9803462536,-43.2005624942,858,10
22.31655,114.17034,330,8
-22.9384826882,-43.1764508125,71,8
40.78558,-73.9696,212,9
22.28422,114.15007,966,10
41.14404,-8.61205,31,10
-22.9627079333,-43.1771454163,798,10
40.79805,-73.93943,180,9
40.71552,-73.93869,220,10
-33.92398,151.25541,64,9
-23.011117008,-43.3683167695,933,9
-22.9800516837,-43.1998455459,298,9
19.42151,-155.21763,185,10
40.85598,-73.90052,35,9
-22.9317158992,-43.1788862921,149,9
22.29663,114.17088,997,9
21.63549,-157.91952,795,10
-22.9483654905,-43.3349670504,101,9
41.08835,29.05108,105,9
-22.9163618436,-43.3703522019,101,10
40.98837,29.06064,37,9
-23.0046333995,-43.3089745799,138,10
41.16246,-8.60069,100,9
21.57561,-158.1602,100,9
41.03326,28.98538,269,9
20.78621,-156.46881,229,9
22.32074,114.17094,479,9
-33.7975,151.26108,45,10
-22.963149303,-43.177948897,298,9
-22.9939188806,-43.2750200715,2499,9
-33.8289,151.18563,999,9
-33.90318,151.15036,129,10
-22.9825573053,-43.20577175,351,9
41.17544,-8.68887,80,10
-23.0089916917,-43.3539706726,112,10
-33.8872,151.27448,399,9
40.69406,-73.98102,144,9
-23.0097026892,-43.3223128729,351,9
41.40087,2.17963,20,10
-33.87604,151.22559,85,10
41.1462,-8.59275,29,9
41.05197,29.02519,100,9
19.61318,-155.97349,325,10
41.41582,2.15836,85,8
-22.9413212202,-43.1793317518,112,9
41.03735,28.97477,264,9
22.32733,114.16262,353,8
19.73108,-155.09259,125,10
40.70687,-73.93981,125,9
41.03376,28.98648,105,9
40.80708,-73.95211,80,10
41.14295,-8.61602,80,9
21.29561,-157.78578,120,9
-22.9313871087,-43.1797407134,701,9
40.6651,-73.98307,135,10
41.39716,2.18146,169,9
-22.9644881171,-43.220762226,395,9
41.16093,-8.6114,60,9
22.40547,114.12074,801,9
22.28351,114.15241,997,9
19.56081,-155.02503,72,10
-22.964922391800002,-43.175966119,351,9
-23.0121608301,-43.4365606528,3726,9
40.98825,29.02588,137,9
45.52517,-73.60137,30,9
40.67414,-73.95667,50,9
-22.9174756131,-43.1782340258,1999,9
41.14106,-8.61279,55,10
-23.0111245954,-43.3298417561,933,10
41.41254,2.19057,31,8
-22.9841628721,-43.2212007018,298,10
22.22739,-159.48653,139,9
-33.89931,151.15851,65,10
22.28028,114.15315,1703,10
22.28582,114.15202,1146,9
41.37724,2.17831,91,9
21.88234,-159.47554,234,10
41.15171,-8.67643,80,10
40.71823,-73.98319,90,9
41.41035,2.17519,15,9
41.38049,2.17778,40,8
22.308,114.16558,2748,9
41.40686,2.15533,40,8
